,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9867549668874172,0.9769585253456221,0.9416666666666667,0.8516949152542372,0.6322314049586777,0.3819742489270386,0.14427860696517414,0.07881773399014778,0.01834862385321101,0.014925373134328358,0.0,0.007246376811594203,0.0,0.011111111111111112,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
2,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9867549668874172,1.0,0.9833333333333333,0.9703389830508474,0.8388429752066116,0.6609442060085836,0.36318407960199006,0.16748768472906406,0.05963302752293578,0.029850746268656716,0.006802721088435374,0.014492753623188406,0.0,0.011111111111111112,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
3,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9916666666666666,0.9872881355932203,0.9752066115702479,0.8111587982832618,0.6716417910447761,0.3694581280788177,0.14220183486238533,0.04975124378109452,0.006802721088435374,0.014492753623188406,0.0,0.011111111111111112,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
4,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9958333333333332,0.9999999999999999,0.9958677685950413,0.9055793991416309,0.8109452736318408,0.6699507389162562,0.3623853211009175,0.1691542288557214,0.061224489795918366,0.028985507246376812,0.0,0.022222222222222223,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
5,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9656652360515021,0.9303482587064676,0.8423645320197045,0.6788990825688074,0.3830845771144279,0.19727891156462585,0.07971014492753624,0.01680672268907563,0.022222222222222223,0.0,0.02127659574468085,0.020833333333333332,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
6,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9871244635193133,0.9800995024875622,0.9556650246305419,0.8669724770642202,0.6567164179104478,0.46258503401360546,0.23188405797101452,0.05042016806722689,0.05555555555555555,0.0,0.02127659574468085,0.020833333333333332,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
7,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9871244635193133,0.9850746268656716,0.9802955665024631,0.9220183486238532,0.8407960199004976,0.6870748299319728,0.4565217391304348,0.2184873949579832,0.13333333333333333,0.0,0.02127659574468085,0.020833333333333332,0.025,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
8,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9957081545064377,0.990049751243781,0.9901477832512315,0.963302752293578,0.9303482587064678,0.8299319727891157,0.7101449275362319,0.453781512605042,0.2777777777777778,0.058823529411764705,0.06382978723404255,0.041666666666666664,0.05,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
9,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9957081545064377,0.9950248756218905,0.9950738916256158,0.981651376146789,0.9751243781094528,0.9115646258503401,0.9130434782608696,0.6974789915966386,0.5111111111111111,0.21176470588235297,0.0851063829787234,0.041666666666666664,0.05,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
10,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9950738916256158,0.9908256880733946,0.9900497512437813,0.9659863945578231,0.963768115942029,0.8319327731092436,0.6555555555555554,0.5058823529411764,0.2765957446808511,0.10416666666666666,0.1,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
